[CARLA] connected localhost:2000
[CARLA] controlling vehicle: vehicle.dodge.charger_police_2020 (id=30)
[ZENOH] subscribed: 'lock_on', 'target_gps'
[GEO] map origin lat0=0.00000000, lon0=0.00000000
[RUN] ready. Waiting targets on 'target_gps'. Press Ctrl+C to exit.
[STATE] lock_on=False, targets=0, target_age=9000000000.00s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=0, target_age=9000000000.00s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=0, target_age=9000000000.00s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=0, target_age=9000000000.00s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=0, target_age=9000000000.00s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=0, target_age=9000000000.00s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=0, target_age=9000000000.00s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=0, target_age=9000000000.00s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=1, target_age=0.31s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=1, target_age=0.07s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=1, target_age=0.00s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=1, target_age=0.11s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=1, target_age=0.26s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=2, target_age=0.08s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=1, target_age=0.12s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=1, target_age=0.06s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=1, target_age=0.10s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=1, target_age=0.22s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=1, target_age=0.07s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=1, target_age=0.33s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=1, target_age=0.00s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=1, target_age=0.32s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=1, target_age=0.29s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=1, target_age=0.05s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=1, target_age=0.24s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=1, target_age=0.08s, ego_v=0.0 m/s
[STATE] lock_on=False, targets=1, target_age=0.02s, ego_v=0.0 m/s
